schema_version,suite_id,case_id,case_family,benchmark_n_qubits,planner_id,optimize_mode,contraction_plan_hash,planning_time_s,task_count,tn_estimated_flops,tn_max_intermediate_bytes,total_host_to_dpu_bytes,total_dpu_to_host_bytes,total_mram_to_wram_bytes,tiling_required_task_count,estimated_total_tile_count,estimated_max_parallel_tiles,upmem_pressure_score,upmem_rank,flop_rank,parallelism_evidence_type,execution_plan_executed
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_20q_planner,hs,20,opt_einsum.auto,auto,711cbfb98159691eabe88f5a70624cfe0830a50d326eae8d9a427cfa5e7149d4,0.002776346002065111,99,8437312,16777216,71108,4215216,4286324,1,354,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_hs_20q_planner,hs,20,opt_einsum.greedy,greedy,a313e2ee3014bf3243e2636612cb1f09af7943c7b333335de617d48ed5e1f5f0,0.0027833089989144355,99,8437312,16777216,71108,4215216,4286324,1,354,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_8q_planner,qrng,8,opt_einsum.auto,auto,9d1c379c7e80f2a5dfe06773141d7fd6a59380ed5806feca05884c69e0b03276,0.0003331620027893223,15,2688,4096,112,1280,1392,0,15,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_8q_planner,qrng,8,opt_einsum.greedy,greedy,ca35c73f9cde2379122b4734d589497e0b8aa201e60bda63cfee691e356f7d06,0.00036313800228526816,15,2688,4096,112,1280,1392,0,15,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_10q_planner,qrng,10,opt_einsum.auto,auto,48ac50004d31eba2fc178a77bb0dc8817c9e4401da1a31d3266b3ca69c4d506e,0.0003874140020343475,19,9440,16384,196,4640,4836,0,19,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_10q_planner,qrng,10,opt_einsum.greedy,greedy,4b9d86302ee13b4250f7aae519cc0b31e364d4b8888363a0f83657cdacfabb1d,0.00038861600478412583,19,9440,16384,196,4640,4836,0,19,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_12q_planner,qrng,12,opt_einsum.auto,auto,b7e270594990d8d90f2c879b62cb6e04d1fa4caf4e435c592496b62d23e888f9,0.0004548190045170486,23,35776,65536,424,17792,18216,0,23,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_12q_planner,qrng,12,opt_einsum.greedy,greedy,0ae72a48e51ed7c2a820b788365685c9c14ae9df5d4f2b61f69cb4a0cea5fcae,0.00044777599396184087,23,35776,65536,424,17792,18216,0,23,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_14q_planner,qrng,14,opt_einsum.auto,auto,3435acd3e82a485be089c9db1c00dfd19a3aace04126750b8c37a919f6940080,0.0005293889989843592,27,134688,262144,700,67232,67932,1,30,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_14q_planner,qrng,14,opt_einsum.greedy,greedy,1e40725922a5505d0b6e20e6fdc0053f2862356961b6b3ecdd5f8eaa5e4404c7,0.0005262530030449852,27,134688,262144,700,67232,67932,1,30,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_16q_planner,qrng,16,opt_einsum.auto,auto,4898f49d74445a6474c8b6c70b5ad91a576fce8d9c98ea24f7140cf0d36936e7,0.0005867660001968034,31,529664,1048576,4576,264704,269280,1,46,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_16q_planner,qrng,16,opt_einsum.greedy,greedy,55fa639dd0a7cc88eb7f62bb2e44e4414831dcfae88a5771afdc1711958636ed,0.0005810049988212995,31,529664,1048576,4576,264704,269280,1,46,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_18q_planner,qrng,18,opt_einsum.auto,auto,b1d4227b3fa7fdfa03dd493ff217a90c4880863e20ae6597026ed82918f9b176,0.0006826349999755621,35,2109280,4194304,17716,1054496,1072212,1,98,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_18q_planner,qrng,18,opt_einsum.greedy,greedy,b4495cb0a5cc9d2997213170394c06cbbe1d45a8b85504af5796f76ae8607d70,0.0006563959977938794,35,2109280,4194304,17716,1054496,1072212,1,98,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_20q_planner,qrng,20,opt_einsum.auto,auto,0cacecd6e8239a219301335d85d5dfac4ab45b496892a155e8a0a2e05bc6bd85,0.0007367159996647388,39,8427072,16777216,70168,4213376,4283544,1,294,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_qrng_20q_planner,qrng,20,opt_einsum.greedy,greedy,d6bdec50ab0de1ce0ca1c261aab6dc244dfc5583af8a17472dc59c7df341c654,0.0007602699988638051,39,8427072,16777216,70168,4213376,4283544,1,294,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_8q_planner,xor,8,opt_einsum.auto,auto,08508636faa810b2a437b40b7db945c30f89c713888206dbcd4e4b53df489daa,0.00047836399608058855,14,8256,4096,388,2064,2452,0,14,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_8q_planner,xor,8,opt_einsum.greedy,greedy,ed4c75966a46565e1f547f3d3aa23798a765c99b4c7de485a2c85ebae7add32d,0.0004818599991267547,14,8256,4096,388,2064,2452,0,14,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_10q_planner,xor,10,opt_einsum.auto,auto,94750e745738f3934ff4758866b79c949c231b8440955d0e63f0abaa4ff656de,0.0006118130040704273,18,29248,16384,968,7312,8280,0,18,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_10q_planner,xor,10,opt_einsum.greedy,greedy,0bff78aedaf9bd52e03ea9925dace36ea038d7b3d4d181ea18768e927e3cc4c5,0.0006052309981896542,18,29248,16384,968,7312,8280,0,18,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_12q_planner,xor,12,opt_einsum.auto,auto,2846858856ec75d179619bbdac5ae797b9355374013de3cda4c9b556df788e54,0.0007369270024355501,22,111680,65536,3084,27920,31004,0,22,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_12q_planner,xor,12,opt_einsum.greedy,greedy,13d057271b719d56f746cb9c9586a4614890d31d8dd6f19ed2f52288632d08d2,0.000745591998565942,22,111680,65536,3084,27920,31004,0,22,1,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_14q_planner,xor,14,opt_einsum.auto,auto,1cb9f05fa4c8056b8cba18f8b5f07abca060ca6d75bd523d1d0d0176ea4042f1,0.0008652769975014962,26,439872,262144,11384,109968,121352,2,30,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_14q_planner,xor,14,opt_einsum.greedy,greedy,81a73be756d2211ba7bbbc6c39bf4b7ab52992a835e79a50f89a3f390016c295,0.0008634830010123551,26,439872,262144,11384,109968,121352,2,30,4,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_16q_planner,xor,16,opt_einsum.auto,auto,c51934135bec20a5efa6201f081308b577803d4e890cd5bbef0c74b49e920abc,0.0010000480033340864,30,1751104,1048576,44428,437776,482204,3,53,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_16q_planner,xor,16,opt_einsum.greedy,greedy,300b340b4a651ee9ceec3e186a81197097582af8b347ecf0ff895d85f4670a1f,0.001015968002320733,30,1751104,1048576,44428,437776,482204,3,53,16,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_18q_planner,xor,18,opt_einsum.auto,auto,bf2c74fd06c55f1d19fa0a19476a10c0beb460fc0ad980ff7cc6e672e499303a,0.0011327660031383857,34,6994496,4194304,176448,1748624,1925072,4,136,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_18q_planner,xor,18,opt_einsum.greedy,greedy,74a5076409f7e6d7aa9a885a5cde12d217b765fafa4c26609fae3cb4c377f929,0.0011549079936230555,34,6994496,4194304,176448,1748624,1925072,4,136,64,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_20q_planner,xor,20,opt_einsum.auto,auto,3edcfa9361113408a833620486b67145673e44de0d09bd12bf978a64317ebd6a,0.0013107289996696636,38,27966528,16777216,704372,6991632,7696004,5,459,256,0.0,1,1,modeled,False
research_benchmark_pack_v1,thesis_planner_compare,quest_xor_20q_planner,xor,20,opt_einsum.greedy,greedy,056b8dba9bc4e87d969d2018d1c71557f9f3e261c0fa245ba11025e29f75a09e,0.0012837379981647246,38,27966528,16777216,704372,6991632,7696004,5,459,256,0.0,1,1,modeled,False
