row_kind,scope,representation,feature,left_feature,right_feature,variance_population,distinct_count,pair_tie_fraction,pair_count,pearson,spearman
pair,edc_16q:1dpu_t8,normalized,,I_dpu,E_num,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,I_dpu,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,N_sync,E_num,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,N_sync,P_wram,,,,496,,
pair,edc_16q:1dpu_t8,normalized,,E_num,P_wram,,,,496,,
feature,edc_16q:4dpu_t8,raw,B_host_dpu,,,808291468912.0,14,0.025,120,,
feature,edc_16q:4dpu_t8,raw,B_mram_wram,,,823207550064.0,16,0.0,120,,
feature,edc_16q:4dpu_t8,raw,I_dpu,,,50093303068.0,14,0.025,120,,
feature,edc_16q:4dpu_t8,raw,N_sync,,,7685127.74609375,12,0.041666666666666664,120,,
feature,edc_16q:4dpu_t8,raw,E_num,,,0.0,1,1.0,120,,
feature,edc_16q:4dpu_t8,raw,P_wram,,,0.0,1,1.0,120,,
pair,edc_16q:4dpu_t8,raw,,B_host_dpu,B_mram_wram,,,,120,0.9996581397256887,0.994104620159861
pair,edc_16q:4dpu_t8,raw,,B_host_dpu,I_dpu,,,,120,0.9999999291966994,1.0
pair,edc_16q:4dpu_t8,raw,,B_host_dpu,N_sync,,,,120,0.9147961620975262,0.9629640197141817
pair,edc_16q:4dpu_t8,raw,,B_host_dpu,E_num,,,,120,,
pair,edc_16q:4dpu_t8,raw,,B_host_dpu,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,raw,,B_mram_wram,I_dpu,,,,120,0.9996602511127283,0.994104620159861
pair,edc_16q:4dpu_t8,raw,,B_mram_wram,N_sync,,,,120,0.9226127550400258,0.9689903114963444
pair,edc_16q:4dpu_t8,raw,,B_mram_wram,E_num,,,,120,,
pair,edc_16q:4dpu_t8,raw,,B_mram_wram,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,raw,,I_dpu,N_sync,,,,120,0.9147865853805524,0.9629640197141817
pair,edc_16q:4dpu_t8,raw,,I_dpu,E_num,,,,120,,
pair,edc_16q:4dpu_t8,raw,,I_dpu,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,raw,,N_sync,E_num,,,,120,,
pair,edc_16q:4dpu_t8,raw,,N_sync,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,raw,,E_num,P_wram,,,,120,,
feature,edc_16q:4dpu_t8,normalized,B_host_dpu,,,0.17427250459865645,14,0.025,120,,
feature,edc_16q:4dpu_t8,normalized,B_mram_wram,,,0.17370461468891174,16,0.0,120,,
feature,edc_16q:4dpu_t8,normalized,I_dpu,,,0.07460143481472323,14,0.025,120,,
feature,edc_16q:4dpu_t8,normalized,N_sync,,,0.6314774391699085,12,0.041666666666666664,120,,
feature,edc_16q:4dpu_t8,normalized,E_num,,,0.0,1,1.0,120,,
feature,edc_16q:4dpu_t8,normalized,P_wram,,,0.0,1,1.0,120,,
pair,edc_16q:4dpu_t8,normalized,,B_host_dpu,B_mram_wram,,,,120,0.9994898733162554,0.994104620159861
pair,edc_16q:4dpu_t8,normalized,,B_host_dpu,I_dpu,,,,120,0.9987110312666732,1.0
pair,edc_16q:4dpu_t8,normalized,,B_host_dpu,N_sync,,,,120,0.9571681367005568,0.9629640197141817
pair,edc_16q:4dpu_t8,normalized,,B_host_dpu,E_num,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,B_host_dpu,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,B_mram_wram,I_dpu,,,,120,0.9984343983629698,0.994104620159861
pair,edc_16q:4dpu_t8,normalized,,B_mram_wram,N_sync,,,,120,0.9616080643176338,0.9689903114963444
pair,edc_16q:4dpu_t8,normalized,,B_mram_wram,E_num,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,B_mram_wram,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,I_dpu,N_sync,,,,120,0.9505663839548354,0.9629640197141817
pair,edc_16q:4dpu_t8,normalized,,I_dpu,E_num,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,I_dpu,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,N_sync,E_num,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,N_sync,P_wram,,,,120,,
pair,edc_16q:4dpu_t8,normalized,,E_num,P_wram,,,,120,,
feature,edc_18q:1dpu_t8,raw,B_host_dpu,,,997229780451.3865,27,0.007389162561576354,406,,
feature,edc_18q:1dpu_t8,raw,B_mram_wram,,,1059067802199.0582,28,0.0024630541871921183,406,,
feature,edc_18q:1dpu_t8,raw,I_dpu,,,61746461813.498215,27,0.007389162561576354,406,,
feature,edc_18q:1dpu_t8,raw,N_sync,,,26896373.274673007,15,0.08374384236453201,406,,
feature,edc_18q:1dpu_t8,raw,E_num,,,0.0,1,1.0,406,,
feature,edc_18q:1dpu_t8,raw,P_wram,,,0.0,1,1.0,406,,
pair,edc_18q:1dpu_t8,raw,,B_host_dpu,B_mram_wram,,,,406,0.998636803524235,0.984350036457217
pair,edc_18q:1dpu_t8,raw,,B_host_dpu,I_dpu,,,,406,0.999995604093827,1.0
pair,edc_18q:1dpu_t8,raw,,B_host_dpu,N_sync,,,,406,0.9967058598371712,0.9552712048549374
pair,edc_18q:1dpu_t8,raw,,B_host_dpu,E_num,,,,406,,
pair,edc_18q:1dpu_t8,raw,,B_host_dpu,P_wram,,,,406,,
pair,edc_18q:1dpu_t8,raw,,B_mram_wram,I_dpu,,,,406,0.9986925181661396,0.984350036457217
