circuit_id,logical_plan_id,node_index,node_id,operand_a_shape,operand_b_shape,output_shape,B,M,N,K,operand_a_scale,operand_b_scale,operand_a_max_abs_component,operand_b_max_abs_component,operand_a_encoded_element_count,operand_b_encoded_element_count,operand_a_q_real_min,operand_a_q_real_max,operand_a_q_imag_min,operand_a_q_imag_max,operand_b_q_real_min,operand_b_q_real_max,operand_b_q_imag_min,operand_b_q_imag_max,operand_a_zero_count,operand_b_zero_count,operand_a_clipping_count,operand_b_clipping_count,operand_a_saturation_at_boundary_count,operand_b_saturation_at_boundary_count,int32_theoretical_accumulator_bound,int32_accumulator_safe,local_output_max_abs_error_vs_same_node_float32,local_output_relative_l2_vs_same_node_float32,local_output_norm_drift_vs_same_node_float32,cumulative_output_max_abs_error_vs_same_node_float32,cumulative_output_relative_l2_vs_same_node_float32,cumulative_output_norm_drift_vs_same_node_float32,theoretical_local_error_bound,observed_local_error,rounding_bound_applicable,logical_encoded_bytes,corresponding_float32_complex_bytes,nominal_compression_ratio,scale_metadata_bytes,quantized_complex_values,scalar_components_quantized,scale_computation_count,quantization_event_count,requantization_event_count,dequantized_output_elements,four_real_products_per_complex_product,integer_multiply_accumulate_count
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,17,contract_21,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.007722718509163443,0.007605715060797263,0.9807852506637573,0.9659258127212524,4,16,0,127,-25,25,0,127,-34,34,4,24,0,0,2,4,64516,true,0.002246572868898511,0.0020459515508264303,0.000901341438293457,0.002246572868898511,0.0020459515508264303,0.000901341438293457,0.052254062320322474,0.004091860028673153,true,56,160,2.857142857142857,16,20,40,2,2,1,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,18,contract_5,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.0055677698353144124,0.0076765976552888165,0.7071067690849304,0.9749279022216797,2,16,127,127,0,0,0,127,-29,29,2,24,0,0,2,4,64516,true,7.098913192749023e-05,0.00010039379412773997,3.159046173095703e-05,7.098913192749023e-05,0.00010039379412773997,3.159046173095703e-05,0.03284823622141113,0.00014198625883671268,true,52,144,2.769230769230769,16,18,36,2,2,2,8,4,64
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,19,contract_7,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.0055677698353144124,0.0068190975452032615,0.7071067690849304,0.8660253882408142,2,16,127,127,0,0,0,127,-73,73,2,24,0,0,2,4,64516,true,0.0015597939491271973,0.0022058819886296988,0.0015571117401123047,0.0015597939491271973,0.0022058819886296988,0.0015571117401123047,0.03042285965378603,0.0031195842284363895,true,52,144,2.769230769230769,16,18,36,2,2,2,8,4,64
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,20,contract_9,[2],"[2,2,2,2]","[2,2,2]",1,1,8,2,0.0055677698353144124,0.007274641765384223,0.7071067690849304,0.9238795042037964,2,16,127,127,0,0,0,127,-53,53,2,24,0,0,2,4,64516,true,0.0020312070846557617,0.0028725608717650175,0.001559615135192871,0.0020312070846557617,0.0028725608717650175,0.001559615135192871,0.031711333092768704,0.004062452024066854,true,52,144,2.769230769230769,16,18,36,2,2,2,8,4,64
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,21,contract_18,"[2,2,2]",[2],"[2,2]",1,4,1,2,0.005428174349266713,0.00529526396999209,0.6893781423568726,0.6724985241889954,8,2,0,127,-29,29,127,127,-41,41,8,0,0,0,4,2,64516,true,0.0010349323274567723,0.0019786639604717493,0.0005886554718017578,0.0010349323274567723,0.0019786639604717493,0.0005886554718017578,0.01834515042631346,0.0019786805516775648,true,36,80,2.2222222222222223,16,10,20,2,2,2,4,4,32
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,22,contract_23,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.00529526396999209,0.004083918774221826,0.6724985241889954,0.5186576843261719,4,16,-127,127,-41,41,-127,127,-117,117,0,16,0,0,4,8,64516,true,0.0012844732264056802,0.0020065929275006056,4.363059997558594e-05,0.003179971594363451,0.005201388616114855,0.006593227386474609,0.031293150373578944,0.004013212774519571,true,56,160,2.857142857142857,16,20,40,2,2,2,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,23,contract_25,"[2,2]","[2,2,2,2]","[2,2,2,2]",1,2,8,2,0.005143948427335484,0.0078526932423509,0.6532814502716064,0.9972920417785645,4,16,-127,127,-53,53,0,127,-56,56,0,24,0,0,4,2,64516,true,0.0037324707955121994,0.0035126812290400267,7.510185241699219e-06,0.005658891052007675,0.004879678599536419,0.00061798095703125,0.04601256681786511,0.007025367084758076,true,56,160,2.857142857142857,16,20,40,2,2,2,16,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,24,contract_22,"[2,2,2]","[2,2]","[2,2,2]",1,4,2,2,0.004821829908476101,0.003919542774440735,0.6123723983764648,0.4977819323539734,8,4,0,127,-73,73,110,127,-65,65,8,0,0,0,4,2,64516,true,0.0022791267838329077,0.005255537107586861,0.003612339496612549,0.0023979826364666224,0.004777101334184408,0.0006580352783203125,0.01747734177018019,0.005255537160242172,true,40,96,2.4,16,12,24,2,2,2,8,4,64
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,25,contract_24,"[2,2,2]","[2,2,2,2]","[2,2,2]",1,2,4,4,0.00278505260550131,0.0035632574182795727,0.3537016808986664,0.45253369212150574,8,16,63,127,-111,111,-127,127,-122,122,0,0,0,0,2,8,129032,true,0.0015155426226556301,0.0031481911428272724,0.0006328821182250977,0.004299885593354702,0.007393961306661367,0.0018295049667358398,0.02123403879270109,0.0031482183208395107,true,64,192,3.0,16,24,48,2,2,2,8,4,128
stress4_l2,0893aab5797f8fe01bfda4345fc0b71efbbcb10941be3b158565149d8755a95f,26,contract_26,"[2,2,2]","[2,2,2]","[2,2,2,2]",1,4,4,2,0.005143948427335484,0.004132623278249906,0.6532814502716064,0.524843156337738,8,8,0,127,-53,53,-64,127,-63,48,8,0,0,0,4,1,64516,true,0.0020396194886416197,0.004564700182527304,9.006261825561523e-05,0.003928894177079201,0.00894542783498764,0.001429915428161621,0.022002395838084998,0.004564713958825367,true,48,128,2.6666666666666665,16,16,32,2,2,2,16,4,128
